[Worker-8] ?????? PDC Grid Management — WORKER NODE ??????
[Worker-8] Using 4 threads  connecting to localhost:9090
[Worker-8] GRID_INIT received: 500 nodes  1000 edges  total 100000 candidates
[Worker-8] Chunk #7  [700, 800)  100 candidates
[Worker-8] Chunk #7 done in 50 ms  local best: candidate #752  cost=36962944.33
[Worker-8] Chunk #14  [1400, 1500)  100 candidates
[Worker-8] Chunk #14 done in 23 ms  local best: candidate #1444  cost=37089219.11
[Worker-8] Chunk #25  [2500, 2600)  100 candidates
[Worker-8] Chunk #25 done in 7 ms  local best: candidate #2536  cost=37165416.78
[Worker-8] Chunk #36  [3600, 3700)  100 candidates
[Worker-8] Chunk #36 done in 3 ms  local best: candidate #3695  cost=37076449.25
[Worker-8] Chunk #50  [5000, 5100)  100 candidates
[Worker-8] Chunk #50 done in 6 ms  local best: candidate #5090  cost=36659986.74
[Worker-8] Chunk #58  [5800, 5900)  100 candidates
[Worker-8] Chunk #58 done in 3 ms  local best: candidate #5837  cost=37258536.86
[Worker-8] Chunk #66  [6600, 6700)  100 candidates
[Worker-8] Chunk #66 done in 2 ms  local best: candidate #6625  cost=36920207.71
[Worker-8] Chunk #74  [7400, 7500)  100 candidates
[Worker-8] Chunk #74 done in 4 ms  local best: candidate #7473  cost=36429175.94
[Worker-8] Chunk #84  [8300, 8400)  100 candidates
[Worker-8] Chunk #84 done in 2 ms  local best: candidate #8383  cost=35963174.25
[Worker-8] Chunk #91  [9100, 9200)  100 candidates
[Worker-8] Chunk #91 done in 1 ms  local best: candidate #9116  cost=36932658.95
[Worker-8] Chunk #99  [9900, 10000)  100 candidates
[Worker-8] Chunk #99 done in 2 ms  local best: candidate #9958  cost=37376235.85
[Worker-8] Chunk #108  [10800, 10900)  100 candidates
[Worker-8] Chunk #108 done in 2 ms  local best: candidate #10895  cost=36758683.45
[Worker-8] Chunk #115  [11500, 11600)  100 candidates
[Worker-8] Chunk #115 done in 1 ms  local best: candidate #11584  cost=37025069.65
[Worker-8] Chunk #123  [12300, 12400)  100 candidates
[Worker-8] Chunk #123 done in 1 ms  local best: candidate #12350  cost=37182145.25
[Worker-8] Chunk #131  [13100, 13200)  100 candidates
[Worker-8] Chunk #131 done in 2 ms  local best: candidate #13168  cost=36968007.29
[Worker-8] Chunk #139  [13900, 14000)  100 candidates
[Worker-8] Chunk #139 done in 4 ms  local best: candidate #13971  cost=36789399.92
[Worker-8] Chunk #148  [14700, 14800)  100 candidates
[Worker-8] Chunk #148 done in 2 ms  local best: candidate #14703  cost=36989002.21
[Worker-8] Chunk #155  [15500, 15600)  100 candidates
[Worker-8] Chunk #155 done in 2 ms  local best: candidate #15522  cost=37439521.40
[Worker-8] Chunk #163  [16300, 16400)  100 candidates
[Worker-8] Chunk #163 done in 2 ms  local best: candidate #16302  cost=36364818.82
[Worker-8] Chunk #171  [17100, 17200)  100 candidates
[Worker-8] Chunk #171 done in 3 ms  local best: candidate #17104  cost=36700392.57
[Worker-8] Chunk #181  [18100, 18200)  100 candidates
[Worker-8] Chunk #181 done in 3 ms  local best: candidate #18159  cost=37276069.85
[Worker-8] Chunk #189  [18900, 19000)  100 candidates
[Worker-8] Chunk #189 done in 1 ms  local best: candidate #18981  cost=37435098.10
[Worker-8] Chunk #197  [19700, 19800)  100 candidates
[Worker-8] Chunk #197 done in 2 ms  local best: candidate #19751  cost=36457450.25
[Worker-8] Chunk #206  [20600, 20700)  100 candidates
[Worker-8] Chunk #206 done in 1 ms  local best: candidate #20602  cost=37690070.41
[Worker-8] Chunk #214  [21400, 21500)  100 candidates
[Worker-8] Chunk #214 done in 1 ms  local best: candidate #21415  cost=37078405.49
[Worker-8] Chunk #222  [22200, 22300)  100 candidates
[Worker-8] Chunk #222 done in 3 ms  local best: candidate #22298  cost=37676981.89
[Worker-8] Chunk #230  [23000, 23100)  100 candidates
[Worker-8] Chunk #230 done in 3 ms  local best: candidate #23064  cost=37326213.75
[Worker-8] Chunk #238  [23800, 23900)  100 candidates
[Worker-8] Chunk #238 done in 2 ms  local best: candidate #23829  cost=36616232.79
[Worker-8] Chunk #246  [24600, 24700)  100 candidates
[Worker-8] Chunk #246 done in 1 ms  local best: candidate #24664  cost=37405250.65
[Worker-8] Chunk #254  [25400, 25500)  100 candidates
[Worker-8] Chunk #254 done in 3 ms  local best: candidate #25481  cost=36511933.60
[Worker-8] Chunk #262  [26200, 26300)  100 candidates
[Worker-8] Chunk #262 done in 1 ms  local best: candidate #26216  cost=37351244.24
[Worker-8] Chunk #269  [26900, 27000)  100 candidates
[Worker-8] Chunk #269 done in 1 ms  local best: candidate #26958  cost=36187732.57
[Worker-8] Chunk #278  [27800, 27900)  100 candidates
[Worker-8] Chunk #278 done in 1 ms  local best: candidate #27834  cost=37233055.83
[Worker-8] Chunk #286  [28600, 28700)  100 candidates
[Worker-8] Chunk #286 done in 2 ms  local best: candidate #28683  cost=37169642.54
[Worker-8] Chunk #293  [29300, 29400)  100 candidates
[Worker-8] Chunk #293 done in 2 ms  local best: candidate #29332  cost=37015879.03
[Worker-8] Chunk #301  [30100, 30200)  100 candidates
