[Worker-1] ?????? PDC Grid Management — WORKER NODE ??????
[Worker-1] Using 18 threads  connecting to localhost:9090
[Worker-1] GRID_INIT received: 500 nodes  1000 edges  total 200000 candidates
[Worker-1] Chunk #1  [100, 200)  100 candidates
[Worker-1] Chunk #1 done in 626 ms  local best: candidate #145  cost=36847292.86
[Worker-1] Chunk #13  [1300, 1400)  100 candidates
[Worker-1] Chunk #13 done in 36 ms  local best: candidate #1395  cost=37240739.98
[Worker-1] Chunk #15  [1500, 1600)  100 candidates
[Worker-1] Chunk #15 done in 36 ms  local best: candidate #1539  cost=36526345.70
[Worker-1] Chunk #17  [1700, 1800)  100 candidates
[Worker-1] Chunk #17 done in 7 ms  local best: candidate #1711  cost=37079129.63
[Worker-1] Chunk #19  [1900, 2000)  100 candidates
[Worker-1] Chunk #19 done in 40 ms  local best: candidate #1963  cost=37229690.15
[Worker-1] Chunk #21  [2100, 2200)  100 candidates
[Worker-1] Chunk #21 done in 32 ms  local best: candidate #2144  cost=36791009.98
[Worker-1] Chunk #23  [2300, 2400)  100 candidates
[Worker-1] Chunk #23 done in 26 ms  local best: candidate #2308  cost=36747948.23
[Worker-1] Chunk #24  [2400, 2500)  100 candidates
[Worker-1] Chunk #24 done in 59 ms  local best: candidate #2405  cost=36416551.73
[Worker-1] Chunk #30  [3000, 3100)  100 candidates
[Worker-1] Chunk #30 done in 7 ms  local best: candidate #3026  cost=36794339.53
[Worker-1] Chunk #32  [3200, 3300)  100 candidates
[Worker-1] Chunk #32 done in 11 ms  local best: candidate #3208  cost=37055611.66
[Worker-1] Chunk #35  [3500, 3600)  100 candidates
[Worker-1] Chunk #35 done in 3 ms  local best: candidate #3540  cost=37138727.94
[Worker-1] Chunk #38  [3800, 3900)  100 candidates
[Worker-1] Chunk #38 done in 6 ms  local best: candidate #3824  cost=37322842.98
[Worker-1] Chunk #39  [3900, 4000)  100 candidates
[Worker-1] Chunk #39 done in 76 ms  local best: candidate #3950  cost=36880324.71
[Worker-1] Chunk #53  [5300, 5400)  100 candidates
[Worker-1] Chunk #53 done in 2 ms  local best: candidate #5363  cost=36817693.35
[Worker-1] Chunk #54  [5400, 5500)  100 candidates
[Worker-1] Chunk #54 done in 23 ms  local best: candidate #5431  cost=35799468.04
[Worker-1] Chunk #61  [6100, 6200)  100 candidates
[Worker-1] Chunk #61 done in 2 ms  local best: candidate #6142  cost=36828280.15
[Worker-1] Chunk #62  [6200, 6300)  100 candidates
[Worker-1] Chunk #62 done in 14 ms  local best: candidate #6207  cost=37247141.62
[Worker-1] Chunk #66  [6600, 6700)  100 candidates
[Worker-1] Chunk #66 done in 1 ms  local best: candidate #6625  cost=36920207.71
[Worker-1] Chunk #69  [6900, 7000)  100 candidates
[Worker-1] Chunk #69 done in 18 ms  local best: candidate #6939  cost=36583019.72
[Worker-1] Chunk #73  [7300, 7400)  100 candidates
[Worker-1] Chunk #73 done in 3 ms  local best: candidate #7368  cost=37371411.74
[Worker-1] Chunk #75  [7500, 7600)  100 candidates
[Worker-1] Chunk #75 done in 155 ms  local best: candidate #7505  cost=37135084.02
[Worker-1] Chunk #106  [10600, 10700)  100 candidates
[Worker-1] Chunk #106 done in 2 ms  local best: candidate #10687  cost=36950957.42
[Worker-1] Chunk #108  [10800, 10900)  100 candidates
[Worker-1] Chunk #108 done in 29 ms  local best: candidate #10895  cost=36758683.45
[Worker-1] Chunk #117  [11700, 11800)  100 candidates
[Worker-1] Chunk #117 done in 0 ms  local best: candidate #11701  cost=36887054.24
[Worker-1] Chunk #119  [11900, 12000)  100 candidates
[Worker-1] Chunk #119 done in 34 ms  local best: candidate #11985  cost=37282314.91
[Worker-1] Chunk #129  [12900, 13000)  100 candidates
[Worker-1] Chunk #129 done in 22 ms  local best: candidate #12913  cost=36891256.55
[Worker-1] Chunk #135  [13500, 13600)  100 candidates
[Worker-1] Chunk #135 done in 3 ms  local best: candidate #13599  cost=36727090.44
[Worker-1] Chunk #137  [13700, 13800)  100 candidates
[Worker-1] Chunk #137 done in 24 ms  local best: candidate #13775  cost=37278475.51
[Worker-1] Chunk #142  [14200, 14300)  100 candidates
[Worker-1] Chunk #142 done in 17 ms  local best: candidate #14277  cost=37211502.21
[Worker-1] Chunk #147  [14700, 14800)  100 candidates
[Worker-1] Chunk #147 done in 23 ms  local best: candidate #14703  cost=36989002.21
[Worker-1] Chunk #152  [15200, 15300)  100 candidates
[Worker-1] Chunk #152 done in 17 ms  local best: candidate #15271  cost=36656098.54
[Worker-1] Chunk #158  [15800, 15900)  100 candidates
[Worker-1] Chunk #158 done in 2 ms  local best: candidate #15830  cost=37376583.50
[Worker-1] Chunk #160  [16000, 16100)  100 candidates
[Worker-1] Chunk #160 done in 26 ms  local best: candidate #16048  cost=37069328.74
[Worker-1] Chunk #165  [16500, 16600)  100 candidates
[Worker-1] Chunk #165 done in 22 ms  local best: candidate #16579  cost=36792855.53
[Worker-1] Chunk #170  [17000, 17100)  100 candidates
[Worker-1] Chunk #170 done in 20 ms  local best: candidate #17060  cost=37023217.48
[Worker-1] Chunk #175  [17500, 17600)  100 candidates
[Worker-1] Chunk #175 done in 2 ms  local best: candidate #17503  cost=37008864.84
[Worker-1] Chunk #176  [17600, 17700)  100 candidates
[Worker-1] Chunk #176 done in 25 ms  local best: candidate #17638  cost=36575315.43
[Worker-1] Chunk #182  [18200, 18300)  100 candidates
[Worker-1] Chunk #182 done in 2 ms  local best: candidate #18294  cost=37560428.26
[Worker-1] Chunk #183  [18300, 18400)  100 candidates
[Worker-1] Chunk #183 done in 14 ms  local best: candidate #18338  cost=37140694.46
[Worker-1] Chunk #188  [18800, 18900)  100 candidates
[Worker-1] Chunk #188 done in 16 ms  local best: candidate #18831  cost=36930624.75
[Worker-1] Chunk #190  [19000, 19100)  100 candidates
[Worker-1] Chunk #190 done in 1 ms  local best: candidate #19053  cost=35886473.15
[Worker-1] Chunk #192  [19200, 19300)  100 candidates
[Worker-1] Chunk #192 done in 2 ms  local best: candidate #19220  cost=36376065.68
[Worker-1] Chunk #194  [19400, 19500)  100 candidates
[Worker-1] Chunk #194 done in 12 ms  local best: candidate #19427  cost=37015515.08
[Worker-1] Chunk #197  [19700, 19800)  100 candidates
[Worker-1] Chunk #197 done in 29 ms  local best: candidate #19751  cost=36457450.25
[Worker-1] Chunk #204  [20400, 20500)  100 candidates
[Worker-1] Chunk #204 done in 33 ms  local best: candidate #20491  cost=37079075.13
[Worker-1] Chunk #213  [21300, 21400)  100 candidates
[Worker-1] Chunk #213 done in 23 ms  local best: candidate #21389  cost=37217605.20
[Worker-1] Chunk #227  [22700, 22800)  100 candidates
[Worker-1] Chunk #227 done in 2 ms  local best: candidate #22745  cost=37156502.69
[Worker-1] Chunk #235  [23500, 23600)  100 candidates
[Worker-1] Chunk #235 done in 13 ms  local best: candidate #23503  cost=37076067.89
[Worker-1] Chunk #245  [24500, 24600)  100 candidates
[Worker-1] Chunk #245 done in 6 ms  local best: candidate #24554  cost=36892770.43
[Worker-1] Chunk #251  [25100, 25200)  100 candidates
[Worker-1] Chunk #251 done in 11 ms  local best: candidate #25149  cost=36990389.15
[Worker-1] Chunk #259  [25900, 26000)  100 candidates
[Worker-1] Chunk #259 done in 14 ms  local best: candidate #25911  cost=37220871.62
[Worker-1] Chunk #265  [26500, 26600)  100 candidates
[Worker-1] Chunk #265 done in 3 ms  local best: candidate #26552  cost=37022316.54
[Worker-1] Chunk #269  [26900, 27000)  100 candidates
[Worker-1] Chunk #269 done in 3 ms  local best: candidate #26958  cost=36187732.57
[Worker-1] Chunk #271  [27100, 27200)  100 candidates
[Worker-1] Chunk #271 done in 28 ms  local best: candidate #27114  cost=37437015.86
[Worker-1] Chunk #277  [27700, 27800)  100 candidates
[Worker-1] Chunk #277 done in 18 ms  local best: candidate #27750  cost=36820899.23
[Worker-1] Chunk #283  [28300, 28400)  100 candidates
[Worker-1] Chunk #283 done in 17 ms  local best: candidate #28359  cost=36973770.82
[Worker-1] Chunk #289  [28900, 29000)  100 candidates
[Worker-1] Chunk #289 done in 11 ms  local best: candidate #28957  cost=36974304.21
[Worker-1] Chunk #294  [29400, 29500)  100 candidates
[Worker-1] Chunk #294 done in 17 ms  local best: candidate #29444  cost=36494729.70
[Worker-1] Chunk #301  [30100, 30200)  100 candidates
[Worker-1] Chunk #301 done in 9 ms  local best: candidate #30181  cost=37145525.14
[Worker-1] Chunk #306  [30600, 30700)  100 candidates
[Worker-1] Chunk #306 done in 16 ms  local best: candidate #30634  cost=36824769.31
[Worker-1] Chunk #313  [31300, 31400)  100 candidates
[Worker-1] Chunk #313 done in 8 ms  local best: candidate #31321  cost=37233870.14
[Worker-1] Chunk #318  [31800, 31900)  100 candidates
[Worker-1] Chunk #318 done in 17 ms  local best: candidate #31849  cost=36893171.39
[Worker-1] Chunk #324  [32400, 32500)  100 candidates
[Worker-1] Chunk #324 done in 3 ms  local best: candidate #32496  cost=37151325.95
[Worker-1] Chunk #326  [32600, 32700)  100 candidates
[Worker-1] Chunk #326 done in 8 ms  local best: candidate #32699  cost=37068786.34
[Worker-1] Chunk #327  [32700, 32800)  100 candidates
[Worker-1] Chunk #327 done in 38 ms  local best: candidate #32740  cost=36708091.91
[Worker-1] Chunk #337  [33700, 33800)  100 candidates
[Worker-1] Chunk #337 done in 11 ms  local best: candidate #33755  cost=37031713.75
[Worker-1] Chunk #342  [34200, 34300)  100 candidates
[Worker-1] Chunk #342 done in 10 ms  local best: candidate #34281  cost=37435026.28
[Worker-1] Chunk #347  [34700, 34800)  100 candidates
[Worker-1] Chunk #347 done in 10 ms  local best: candidate #34739  cost=37398724.69
[Worker-1] Chunk #351  [35100, 35200)  100 candidates
[Worker-1] Chunk #351 done in 4 ms  local best: candidate #35185  cost=37262820.60
[Worker-1] Chunk #353  [35300, 35400)  100 candidates
[Worker-1] Chunk #353 done in 20 ms  local best: candidate #35341  cost=37160238.40
[Worker-1] Chunk #360  [36000, 36100)  100 candidates
[Worker-1] Chunk #360 done in 8 ms  local best: candidate #36065  cost=37124864.69
[Worker-1] Chunk #367  [36700, 36800)  100 candidates
[Worker-1] Chunk #367 done in 13 ms  local best: candidate #36734  cost=37005851.98
[Worker-1] Chunk #372  [37200, 37300)  100 candidates
[Worker-1] Chunk #372 done in 16 ms  local best: candidate #37223  cost=37021006.87
[Worker-1] Chunk #378  [37800, 37900)  100 candidates
[Worker-1] Chunk #378 done in 23 ms  local best: candidate #37896  cost=37322801.98
[Worker-1] Chunk #385  [38500, 38600)  100 candidates
[Worker-1] Chunk #385 done in 31 ms  local best: candidate #38522  cost=36622359.10
[Worker-1] Chunk #396  [39600, 39700)  100 candidates
[Worker-1] Chunk #396 done in 4 ms  local best: candidate #39699  cost=37130314.59
[Worker-1] Chunk #398  [39800, 39900)  100 candidates
[Worker-1] Chunk #398 done in 12 ms  local best: candidate #39890  cost=36851332.05
[Worker-1] Chunk #405  [40500, 40600)  100 candidates
[Worker-1] Chunk #405 done in 6 ms  local best: candidate #40560  cost=37195332.67
[Worker-1] Chunk #408  [40800, 40900)  100 candidates
[Worker-1] Chunk #408 done in 13 ms  local best: candidate #40860  cost=37157162.90
[Worker-1] Chunk #413  [41300, 41400)  100 candidates
[Worker-1] Chunk #413 done in 2 ms  local best: candidate #41326  cost=37246444.76
[Worker-1] Chunk #414  [41400, 41500)  100 candidates
[Worker-1] Chunk #414 done in 19 ms  local best: candidate #41416  cost=36937619.13
[Worker-1] Chunk #421  [42100, 42200)  100 candidates
[Worker-1] Chunk #421 done in 6 ms  local best: candidate #42173  cost=36732679.45
[Worker-1] Chunk #424  [42400, 42500)  100 candidates
[Worker-1] Chunk #424 done in 12 ms  local best: candidate #42460  cost=37385228.29
[Worker-1] Chunk #430  [43000, 43100)  100 candidates
[Worker-1] Chunk #430 done in 9 ms  local best: candidate #43081  cost=37086428.83
[Worker-1] Chunk #431  [43100, 43200)  100 candidates
[Worker-1] Chunk #431 done in 2 ms  local best: candidate #43196  cost=36879454.86
[Worker-1] Chunk #432  [43200, 43300)  100 candidates
[Worker-1] Chunk #432 done in 61 ms  local best: candidate #43272  cost=36996583.41
[Worker-1] Chunk #447  [44700, 44800)  100 candidates
[Worker-1] Chunk #447 done in 3 ms  local best: candidate #44759  cost=36430542.16
[Worker-1] Chunk #448  [44800, 44900)  100 candidates
[Worker-1] Chunk #448 done in 5 ms  local best: candidate #44825  cost=37477539.89
[Worker-1] Chunk #449  [44900, 45000)  100 candidates
[Worker-1] Chunk #449 done in 29 ms  local best: candidate #44930  cost=36838756.19
