[Worker-5] ?????? PDC Grid Management — WORKER NODE ??????
[Worker-5] Using 4 threads  connecting to localhost:9090
[Worker-5] GRID_INIT received: 500 nodes  1000 edges  total 100000 candidates
[Worker-5] Chunk #0  [0, 100)  100 candidates
[Worker-5] Chunk #0 done in 23 ms  local best: candidate #59  cost=35729609.27
[Worker-5] Chunk #5  [500, 600)  100 candidates
[Worker-5] Chunk #5 done in 7 ms  local best: candidate #506  cost=36624352.22
[Worker-5] Chunk #12  [1200, 1300)  100 candidates
[Worker-5] Chunk #12 done in 16 ms  local best: candidate #1251  cost=37245598.73
[Worker-5] Chunk #19  [1900, 2000)  100 candidates
[Worker-5] Chunk #19 done in 5 ms  local best: candidate #1963  cost=37229690.15
[Worker-5] Chunk #23  [2300, 2400)  100 candidates
[Worker-5] Chunk #23 done in 5 ms  local best: candidate #2308  cost=36747948.23
[Worker-5] Chunk #29  [2900, 3000)  100 candidates
[Worker-5] Chunk #29 done in 2 ms  local best: candidate #2993  cost=36785048.69
[Worker-5] Chunk #34  [3400, 3500)  100 candidates
[Worker-5] Chunk #34 done in 2 ms  local best: candidate #3468  cost=36693454.56
[Worker-5] Chunk #39  [3900, 4000)  100 candidates
[Worker-5] Chunk #39 done in 1 ms  local best: candidate #3950  cost=36880324.71
[Worker-5] Chunk #44  [4400, 4500)  100 candidates
[Worker-5] Chunk #44 done in 1 ms  local best: candidate #4447  cost=37140215.27
[Worker-5] Chunk #49  [4900, 5000)  100 candidates
[Worker-5] Chunk #49 done in 2 ms  local best: candidate #4919  cost=36364747.82
[Worker-5] Chunk #54  [5400, 5500)  100 candidates
[Worker-5] Chunk #54 done in 1 ms  local best: candidate #5431  cost=35799468.04
[Worker-5] Chunk #58  [5800, 5900)  100 candidates
[Worker-5] Chunk #58 done in 2 ms  local best: candidate #5837  cost=37258536.86
[Worker-5] Chunk #63  [6300, 6400)  100 candidates
[Worker-5] Chunk #63 done in 3 ms  local best: candidate #6386  cost=36778032.13
[Worker-5] Chunk #69  [6900, 7000)  100 candidates
[Worker-5] Chunk #69 done in 1 ms  local best: candidate #6939  cost=36583019.72
[Worker-5] Chunk #73  [7300, 7400)  100 candidates
[Worker-5] Chunk #73 done in 2 ms  local best: candidate #7368  cost=37371411.74
[Worker-5] Chunk #77  [7700, 7800)  100 candidates
[Worker-5] Chunk #77 done in 3 ms  local best: candidate #7729  cost=36643157.52
[Worker-5] Chunk #82  [8200, 8300)  100 candidates
[Worker-5] Chunk #82 done in 3 ms  local best: candidate #8262  cost=36270105.21
[Worker-5] Chunk #87  [8700, 8800)  100 candidates
[Worker-5] Chunk #87 done in 3 ms  local best: candidate #8742  cost=37062473.39
[Worker-5] Chunk #92  [9200, 9300)  100 candidates
[Worker-5] Chunk #92 done in 4 ms  local best: candidate #9283  cost=37137652.26
[Worker-5] Chunk #97  [9700, 9800)  100 candidates
[Worker-5] Chunk #97 done in 4 ms  local best: candidate #9729  cost=36726091.23
[Worker-5] Chunk #102  [10200, 10300)  100 candidates
[Worker-5] Chunk #102 done in 2 ms  local best: candidate #10249  cost=36997805.15
[Worker-5] Chunk #106  [10600, 10700)  100 candidates
[Worker-5] Chunk #106 done in 2 ms  local best: candidate #10687  cost=36950957.42
[Worker-5] Chunk #111  [11100, 11200)  100 candidates
[Worker-5] Chunk #111 done in 1 ms  local best: candidate #11129  cost=37040179.75
[Worker-5] Chunk #116  [11600, 11700)  100 candidates
[Worker-5] Chunk #116 done in 2 ms  local best: candidate #11647  cost=37548212.20
[Worker-5] Chunk #121  [12100, 12200)  100 candidates
[Worker-5] Chunk #121 done in 1 ms  local best: candidate #12189  cost=36877388.43
[Worker-5] Chunk #126  [12600, 12700)  100 candidates
[Worker-5] Chunk #126 done in 2 ms  local best: candidate #12697  cost=35807265.25
[Worker-5] Chunk #131  [13100, 13200)  100 candidates
[Worker-5] Chunk #131 done in 1 ms  local best: candidate #13168  cost=36968007.29
[Worker-5] Chunk #136  [13600, 13700)  100 candidates
[Worker-5] Chunk #136 done in 1 ms  local best: candidate #13612  cost=37229141.14
[Worker-5] Chunk #141  [14100, 14200)  100 candidates
[Worker-5] Chunk #141 done in 2 ms  local best: candidate #14135  cost=36722492.09
[Worker-5] Chunk #146  [14600, 14700)  100 candidates
[Worker-5] Chunk #146 done in 1 ms  local best: candidate #14645  cost=37333145.70
[Worker-5] Chunk #151  [15100, 15200)  100 candidates
[Worker-5] Chunk #151 done in 1 ms  local best: candidate #15116  cost=36907299.74
[Worker-5] Chunk #156  [15600, 15700)  100 candidates
[Worker-5] Chunk #156 done in 1 ms  local best: candidate #15683  cost=37331280.81
[Worker-5] Chunk #161  [16100, 16200)  100 candidates
[Worker-5] Chunk #161 done in 2 ms  local best: candidate #16147  cost=37358484.72
[Worker-5] Chunk #166  [16600, 16700)  100 candidates
[Worker-5] Chunk #166 done in 2 ms  local best: candidate #16687  cost=37097061.83
[Worker-5] Chunk #171  [17100, 17200)  100 candidates
[Worker-5] Chunk #171 done in 2 ms  local best: candidate #17104  cost=36700392.57
[Worker-5] Chunk #177  [17700, 17800)  100 candidates
[Worker-5] Chunk #177 done in 2 ms  local best: candidate #17782  cost=36775007.35
[Worker-5] Chunk #181  [18100, 18200)  100 candidates
[Worker-5] Chunk #181 done in 1 ms  local best: candidate #18159  cost=37276069.85
[Worker-5] Chunk #186  [18600, 18700)  100 candidates
[Worker-5] Chunk #186 done in 1 ms  local best: candidate #18609  cost=36559296.89
[Worker-5] Chunk #191  [19100, 19200)  100 candidates
[Worker-5] Chunk #191 done in 2 ms  local best: candidate #19193  cost=36676184.67
[Worker-5] Chunk #197  [19700, 19800)  100 candidates
[Worker-5] Chunk #197 done in 2 ms  local best: candidate #19751  cost=36457450.25
[Worker-5] Chunk #202  [20200, 20300)  100 candidates
[Worker-5] Chunk #202 done in 2 ms  local best: candidate #20208  cost=37303201.55
[Worker-5] Chunk #206  [20600, 20700)  100 candidates
[Worker-5] Chunk #206 done in 2 ms  local best: candidate #20602  cost=37690070.41
[Worker-5] Chunk #211  [21100, 21200)  100 candidates
[Worker-5] Chunk #211 done in 1 ms  local best: candidate #21138  cost=36901860.45
[Worker-5] Chunk #215  [21500, 21600)  100 candidates
[Worker-5] Chunk #215 done in 1 ms  local best: candidate #21552  cost=36829987.55
[Worker-5] Chunk #220  [22000, 22100)  100 candidates
[Worker-5] Chunk #220 done in 2 ms  local best: candidate #22042  cost=36748795.16
[Worker-5] Chunk #225  [22500, 22600)  100 candidates
[Worker-5] Chunk #225 done in 2 ms  local best: candidate #22569  cost=37246184.41
[Worker-5] Chunk #230  [23000, 23100)  100 candidates
[Worker-5] Chunk #230 done in 1 ms  local best: candidate #23064  cost=37326213.75
[Worker-5] Chunk #235  [23500, 23600)  100 candidates
[Worker-5] Chunk #235 done in 1 ms  local best: candidate #23503  cost=37076067.89
[Worker-5] Chunk #240  [24000, 24100)  100 candidates
[Worker-5] Chunk #240 done in 2 ms  local best: candidate #24070  cost=36935069.27
[Worker-5] Chunk #245  [24500, 24600)  100 candidates
[Worker-5] Chunk #245 done in 2 ms  local best: candidate #24554  cost=36892770.43
[Worker-5] Chunk #250  [25000, 25100)  100 candidates
[Worker-5] Chunk #250 done in 3 ms  local best: candidate #25093  cost=36677789.65
[Worker-5] Chunk #255  [25500, 25600)  100 candidates
[Worker-5] Chunk #255 done in 3 ms  local best: candidate #25545  cost=36664525.37
[Worker-5] Chunk #260  [26000, 26100)  100 candidates
[Worker-5] Chunk #260 done in 2 ms  local best: candidate #26048  cost=37233951.31
[Worker-5] Chunk #265  [26500, 26600)  100 candidates
[Worker-5] Chunk #265 done in 2 ms  local best: candidate #26552  cost=37022316.54
[Worker-5] Chunk #270  [27000, 27100)  100 candidates
[Worker-5] Chunk #270 done in 2 ms  local best: candidate #27086  cost=36809829.59
[Worker-5] Chunk #275  [27500, 27600)  100 candidates
[Worker-5] Chunk #275 done in 3 ms  local best: candidate #27532  cost=37182959.47
[Worker-5] Chunk #280  [28000, 28100)  100 candidates
[Worker-5] Chunk #280 done in 4 ms  local best: candidate #28055  cost=37138595.31
[Worker-5] Chunk #285  [28500, 28600)  100 candidates
[Worker-5] Chunk #285 done in 2 ms  local best: candidate #28510  cost=36947364.91
[Worker-5] Chunk #290  [29000, 29100)  100 candidates
[Worker-5] Chunk #290 done in 2 ms  local best: candidate #29041  cost=37210281.88
[Worker-5] Chunk #295  [29500, 29600)  100 candidates
[Worker-5] Chunk #295 done in 2 ms  local best: candidate #29503  cost=37273673.35
[Worker-5] Chunk #300  [30000, 30100)  100 candidates
[Worker-5] Chunk #300 done in 2 ms  local best: candidate #30060  cost=36768217.74
[Worker-5] Chunk #304  [30400, 30500)  100 candidates
[Worker-5] Chunk #304 done in 2 ms  local best: candidate #30400  cost=36993873.81
[Worker-5] Chunk #309  [30900, 31000)  100 candidates
[Worker-5] Chunk #309 done in 1 ms  local best: candidate #30902  cost=36460937.42
[Worker-5] Chunk #314  [31400, 31500)  100 candidates
[Worker-5] Chunk #314 done in 1 ms  local best: candidate #31428  cost=37415088.44
[Worker-5] Chunk #319  [31900, 32000)  100 candidates
[Worker-5] Chunk #319 done in 2 ms  local best: candidate #31921  cost=37465390.75
[Worker-5] Chunk #324  [32400, 32500)  100 candidates
[Worker-5] Chunk #324 done in 5 ms  local best: candidate #32496  cost=37151325.95
[Worker-5] Chunk #329  [32900, 33000)  100 candidates
[Worker-5] Chunk #329 done in 3 ms  local best: candidate #32910  cost=37468965.37
[Worker-5] Chunk #334  [33400, 33500)  100 candidates
[Worker-5] Chunk #334 done in 3 ms  local best: candidate #33400  cost=36987195.37
[Worker-5] Chunk #339  [33900, 34000)  100 candidates
[Worker-5] Chunk #339 done in 1 ms  local best: candidate #33944  cost=36982461.87
[Worker-5] Chunk #344  [34400, 34500)  100 candidates
[Worker-5] Chunk #344 done in 2 ms  local best: candidate #34436  cost=36836032.65
[Worker-5] Chunk #349  [34900, 35000)  100 candidates
[Worker-5] Chunk #349 done in 2 ms  local best: candidate #34901  cost=36450471.17
[Worker-5] Chunk #354  [35400, 35500)  100 candidates
[Worker-5] Chunk #354 done in 1 ms  local best: candidate #35456  cost=36897682.22
[Worker-5] Chunk #359  [35900, 36000)  100 candidates
[Worker-5] Chunk #359 done in 2 ms  local best: candidate #35936  cost=37079194.54
[Worker-5] Chunk #364  [36400, 36500)  100 candidates
[Worker-5] Chunk #364 done in 1 ms  local best: candidate #36439  cost=37260299.51
[Worker-5] Chunk #369  [36900, 37000)  100 candidates
[Worker-5] Chunk #369 done in 2 ms  local best: candidate #36938  cost=37511484.95
[Worker-5] Chunk #374  [37400, 37500)  100 candidates
[Worker-5] Chunk #374 done in 2 ms  local best: candidate #37434  cost=36816884.56
[Worker-5] Chunk #379  [37900, 38000)  100 candidates
[Worker-5] Chunk #379 done in 2 ms  local best: candidate #37955  cost=36973733.20
[Worker-5] Chunk #384  [38400, 38500)  100 candidates
[Worker-5] Chunk #384 done in 3 ms  local best: candidate #38496  cost=36875571.76
[Worker-5] Chunk #389  [38900, 39000)  100 candidates
[Worker-5] Chunk #389 done in 2 ms  local best: candidate #38981  cost=36969931.17
[Worker-5] Chunk #394  [39400, 39500)  100 candidates
[Worker-5] Chunk #394 done in 1 ms  local best: candidate #39419  cost=37146639.75
[Worker-5] Chunk #399  [39900, 40000)  100 candidates
[Worker-5] Chunk #399 done in 1 ms  local best: candidate #39923  cost=37259832.69
[Worker-5] Chunk #406  [40600, 40700)  100 candidates
[Worker-5] Chunk #406 done in 1 ms  local best: candidate #40673  cost=36996988.78
[Worker-5] Chunk #411  [41100, 41200)  100 candidates
