[Worker-2] ?????? PDC Grid Management — WORKER NODE ??????
[Worker-2] Using 18 threads  connecting to localhost:9090
[Worker-2] GRID_INIT received: 500 nodes  1000 edges  total 200000 candidates
[Worker-2] Chunk #0  [0, 100)  100 candidates
[Worker-2] Chunk #0 done in 228 ms  local best: candidate #59  cost=35729609.27
[Worker-2] Chunk #6  [600, 700)  100 candidates
[Worker-2] Chunk #6 done in 28 ms  local best: candidate #667  cost=37007347.73
[Worker-2] Chunk #7  [700, 800)  100 candidates
[Worker-2] Chunk #7 done in 24 ms  local best: candidate #752  cost=36962944.33
[Worker-2] Chunk #8  [800, 900)  100 candidates
[Worker-2] Chunk #8 done in 16 ms  local best: candidate #818  cost=36961731.10
[Worker-2] Chunk #9  [900, 1000)  100 candidates
[Worker-2] Chunk #9 done in 14 ms  local best: candidate #928  cost=37236060.44
[Worker-2] Chunk #10  [1000, 1100)  100 candidates
[Worker-2] Chunk #10 done in 7 ms  local best: candidate #1007  cost=37149529.81
[Worker-2] Chunk #11  [1100, 1200)  100 candidates
[Worker-2] Chunk #11 done in 22 ms  local best: candidate #1117  cost=37273546.59
[Worker-2] Chunk #12  [1200, 1300)  100 candidates
[Worker-2] Chunk #12 done in 15 ms  local best: candidate #1251  cost=37245598.73
[Worker-2] Chunk #14  [1400, 1500)  100 candidates
[Worker-2] Chunk #14 done in 11 ms  local best: candidate #1444  cost=37089219.11
[Worker-2] Chunk #16  [1600, 1700)  100 candidates
[Worker-2] Chunk #16 done in 6 ms  local best: candidate #1661  cost=37380943.33
[Worker-2] Chunk #18  [1800, 1900)  100 candidates
[Worker-2] Chunk #18 done in 24 ms  local best: candidate #1895  cost=37104325.57
[Worker-2] Chunk #20  [2000, 2100)  100 candidates
[Worker-2] Chunk #20 done in 12 ms  local best: candidate #2020  cost=37226599.09
[Worker-2] Chunk #22  [2200, 2300)  100 candidates
[Worker-2] Chunk #22 done in 63 ms  local best: candidate #2276  cost=37357326.55
[Worker-2] Chunk #26  [2600, 2700)  100 candidates
[Worker-2] Chunk #26 done in 51 ms  local best: candidate #2641  cost=36825694.73
[Worker-2] Chunk #29  [2900, 3000)  100 candidates
