[Worker-4] ?????? PDC Grid Management — WORKER NODE ??????
[Worker-4] Using 18 threads  connecting to localhost:9090
[Worker-4] GRID_INIT received: 500 nodes  1000 edges  total 200000 candidates
[Worker-4] Chunk #4  [400, 500)  100 candidates
[Worker-4] Chunk #4 done in 609 ms  local best: candidate #421  cost=36046147.76
[Worker-4] Chunk #36  [3600, 3700)  100 candidates
[Worker-4] Chunk #36 done in 7 ms  local best: candidate #3695  cost=37076449.25
[Worker-4] Chunk #40  [4000, 4100)  100 candidates
[Worker-4] Chunk #40 done in 44 ms  local best: candidate #4091  cost=36288658.09
[Worker-4] Chunk #49  [4900, 5000)  100 candidates
[Worker-4] Chunk #49 done in 7 ms  local best: candidate #4919  cost=36364747.82
[Worker-4] Chunk #55  [5500, 5600)  100 candidates
[Worker-4] Chunk #55 done in 23 ms  local best: candidate #5501  cost=36200745.73
[Worker-4] Chunk #63  [6300, 6400)  100 candidates
[Worker-4] Chunk #63 done in 3 ms  local best: candidate #6386  cost=36778032.13
[Worker-4] Chunk #65  [6500, 6600)  100 candidates
[Worker-4] Chunk #65 done in 36 ms  local best: candidate #6516  cost=36840884.19
[Worker-4] Chunk #74  [7400, 7500)  100 candidates
[Worker-4] Chunk #74 done in 7 ms  local best: candidate #7473  cost=36429175.94
[Worker-4] Chunk #76  [7600, 7700)  100 candidates
[Worker-4] Chunk #76 done in 39 ms  local best: candidate #7647  cost=37291853.27
[Worker-4] Chunk #85  [8500, 8600)  100 candidates
[Worker-4] Chunk #85 done in 5 ms  local best: candidate #8528  cost=37222953.89
[Worker-4] Chunk #90  [9000, 9100)  100 candidates
[Worker-4] Chunk #90 done in 2 ms  local best: candidate #9011  cost=37079132.72
[Worker-4] Chunk #94  [9400, 9500)  100 candidates
[Worker-4] Chunk #94 done in 23 ms  local best: candidate #9433  cost=36388160.38
[Worker-4] Chunk #103  [10300, 10400)  100 candidates
[Worker-4] Chunk #103 done in 18 ms  local best: candidate #10363  cost=37055039.22
[Worker-4] Chunk #110  [11000, 11100)  100 candidates
