[Worker-6] ?????? PDC Grid Management — WORKER NODE ??????
[Worker-6] Using 18 threads  connecting to localhost:9090
[Worker-6] GRID_INIT received: 500 nodes  1000 edges  total 200000 candidates
[Worker-6] Chunk #3  [300, 400)  100 candidates
[Worker-6] Chunk #3 done in 680 ms  local best: candidate #397  cost=37252276.96
[Worker-6] Chunk #44  [4400, 4500)  100 candidates
[Worker-6] Chunk #44 done in 12 ms  local best: candidate #4447  cost=37140215.27
[Worker-6] Chunk #51  [5100, 5200)  100 candidates
[Worker-6] Chunk #51 done in 24 ms  local best: candidate #5105  cost=37523784.72
[Worker-6] Chunk #59  [5900, 6000)  100 candidates
[Worker-6] Chunk #59 done in 7 ms  local best: candidate #5993  cost=36678600.49
[Worker-6] Chunk #64  [6400, 6500)  100 candidates
[Worker-6] Chunk #64 done in 18 ms  local best: candidate #6418  cost=36867474.63
[Worker-6] Chunk #70  [7000, 7100)  100 candidates
[Worker-6] Chunk #70 done in 25 ms  local best: candidate #7081  cost=36668244.76
[Worker-6] Chunk #78  [7800, 7900)  100 candidates
[Worker-6] Chunk #78 done in 4 ms  local best: candidate #7832  cost=37096918.15
[Worker-6] Chunk #81  [8100, 8200)  100 candidates
[Worker-6] Chunk #81 done in 19 ms  local best: candidate #8182  cost=37522350.55
[Worker-6] Chunk #88  [8800, 8900)  100 candidates
[Worker-6] Chunk #88 done in 3 ms  local best: candidate #8898  cost=37011686.02
[Worker-6] Chunk #92  [9200, 9300)  100 candidates
[Worker-6] Chunk #92 done in 36 ms  local best: candidate #9283  cost=37137652.26
[Worker-6] Chunk #102  [10200, 10300)  100 candidates
[Worker-6] Chunk #102 done in 2 ms  local best: candidate #10249  cost=36997805.15
[Worker-6] Chunk #107  [10700, 10800)  100 candidates
[Worker-6] Chunk #107 done in 11 ms  local best: candidate #10784  cost=36793749.16
[Worker-6] Chunk #118  [11800, 11900)  100 candidates
[Worker-6] Chunk #118 done in 10 ms  local best: candidate #11859  cost=36718189.82
[Worker-6] Chunk #125  [12500, 12600)  100 candidates
[Worker-6] Chunk #125 done in 16 ms  local best: candidate #12567  cost=36977836.45
[Worker-6] Chunk #131  [13100, 13200)  100 candidates
[Worker-6] Chunk #131 done in 1 ms  local best: candidate #13168  cost=36968007.29
[Worker-6] Chunk #133  [13300, 13400)  100 candidates
[Worker-6] Chunk #133 done in 47 ms  local best: candidate #13302  cost=37010727.41
[Worker-6] Chunk #144  [14400, 14500)  100 candidates
[Worker-6] Chunk #144 done in 2 ms  local best: candidate #14432  cost=37414085.74
[Worker-6] Chunk #145  [14500, 14600)  100 candidates
[Worker-6] Chunk #145 done in 17 ms  local best: candidate #14521  cost=37082911.84
[Worker-6] Chunk #150  [15000, 15100)  100 candidates
[Worker-6] Chunk #150 done in 15 ms  local best: candidate #15039  cost=37312844.69
[Worker-6] Chunk #155  [15500, 15600)  100 candidates
[Worker-6] Chunk #155 done in 6 ms  local best: candidate #15522  cost=37439521.40
[Worker-6] Chunk #156  [15600, 15700)  100 candidates
[Worker-6] Chunk #156 done in 44 ms  local best: candidate #15683  cost=37331280.81
[Worker-6] Chunk #166  [16600, 16700)  100 candidates
[Worker-6] Chunk #166 done in 175 ms  local best: candidate #16687  cost=37097061.83
[Worker-6] Chunk #201  [20100, 20200)  100 candidates
[Worker-6] Chunk #201 done in 1 ms  local best: candidate #20176  cost=36924594.88
[Worker-6] Chunk #203  [20300, 20400)  100 candidates
[Worker-6] Chunk #203 done in 17 ms  local best: candidate #20308  cost=37034689.51
[Worker-6] Chunk #207  [20700, 20800)  100 candidates
[Worker-6] Chunk #207 done in 3 ms  local best: candidate #20782  cost=36541305.81
[Worker-6] Chunk #209  [20900, 21000)  100 candidates
[Worker-6] Chunk #209 done in 3 ms  local best: candidate #20935  cost=36790653.31
[Worker-6] Chunk #210  [21000, 21100)  100 candidates
[Worker-6] Chunk #210 done in 33 ms  local best: candidate #21045  cost=37208569.84
[Worker-6] Chunk #223  [22300, 22400)  100 candidates
[Worker-6] Chunk #223 done in 4 ms  local best: candidate #22397  cost=37233740.21
[Worker-6] Chunk #225  [22500, 22600)  100 candidates
[Worker-6] Chunk #225 done in 11 ms  local best: candidate #22569  cost=37246184.41
[Worker-6] Chunk #231  [23100, 23200)  100 candidates
[Worker-6] Chunk #231 done in 2 ms  local best: candidate #23172  cost=37014232.07
[Worker-6] Chunk #233  [23300, 23400)  100 candidates
[Worker-6] Chunk #233 done in 5 ms  local best: candidate #23343  cost=36463272.18
[Worker-6] Chunk #236  [23600, 23700)  100 candidates
[Worker-6] Chunk #236 done in 12 ms  local best: candidate #23664  cost=37265062.98
[Worker-6] Chunk #241  [24100, 24200)  100 candidates
[Worker-6] Chunk #241 done in 4 ms  local best: candidate #24155  cost=36904469.34
[Worker-6] Chunk #244  [24400, 24500)  100 candidates
[Worker-6] Chunk #244 done in 2 ms  local best: candidate #24466  cost=37500281.29
[Worker-6] Chunk #247  [24700, 24800)  100 candidates
[Worker-6] Chunk #247 done in 16 ms  local best: candidate #24733  cost=37537769.80
