[Worker-3] ?????? PDC Grid Management — WORKER NODE ??????
[Worker-3] Using 18 threads  connecting to localhost:9090
[Worker-3] GRID_INIT received: 500 nodes  1000 edges  total 200000 candidates
[Worker-3] Chunk #2  [200, 300)  100 candidates
[Worker-3] Chunk #2 done in 706 ms  local best: candidate #271  cost=36626953.31
[Worker-3] Chunk #25  [2500, 2600)  100 candidates
[Worker-3] Chunk #25 done in 4 ms  local best: candidate #2536  cost=37165416.78
[Worker-3] Chunk #27  [2700, 2800)  100 candidates
[Worker-3] Chunk #27 done in 28 ms  local best: candidate #2725  cost=36473761.92
[Worker-3] Chunk #28  [2800, 2900)  100 candidates
[Worker-3] Chunk #28 done in 84 ms  local best: candidate #2880  cost=37287008.37
[Worker-3] Chunk #42  [4200, 4300)  100 candidates
[Worker-3] Chunk #42 done in 1 ms  local best: candidate #4229  cost=37080617.73
[Worker-3] Chunk #43  [4300, 4400)  100 candidates
[Worker-3] Chunk #43 done in 67 ms  local best: candidate #4350  cost=37344551.60
[Worker-3] Chunk #56  [5600, 5700)  100 candidates
[Worker-3] Chunk #56 done in 4 ms  local best: candidate #5644  cost=37492123.51
[Worker-3] Chunk #57  [5700, 5800)  100 candidates
[Worker-3] Chunk #57 done in 32 ms  local best: candidate #5786  cost=36416817.74
[Worker-3] Chunk #67  [6700, 6800)  100 candidates
[Worker-3] Chunk #67 done in 0 ms  local best: candidate #6751  cost=37236748.71
[Worker-3] Chunk #72  [7200, 7300)  100 candidates
[Worker-3] Chunk #72 done in 32 ms  local best: candidate #7261  cost=36879059.16
[Worker-3] Chunk #82  [8200, 8300)  100 candidates
[Worker-3] Chunk #82 done in 5 ms  local best: candidate #8262  cost=36270105.21
[Worker-3] Chunk #84  [8400, 8500)  100 candidates
[Worker-3] Chunk #84 done in 36 ms  local best: candidate #8411  cost=37164196.70
[Worker-3] Chunk #91  [9100, 9200)  100 candidates
[Worker-3] Chunk #91 done in 26 ms  local best: candidate #9116  cost=36932658.95
[Worker-3] Chunk #98  [9800, 9900)  100 candidates
[Worker-3] Chunk #98 done in 29 ms  local best: candidate #9871  cost=37368997.42
[Worker-3] Chunk #109  [10900, 11000)  100 candidates
[Worker-3] Chunk #109 done in 0 ms  local best: candidate #10922  cost=36799285.95
[Worker-3] Chunk #111  [11100, 11200)  100 candidates
[Worker-3] Chunk #111 done in 14 ms  local best: candidate #11129  cost=37040179.75
[Worker-3] Chunk #122  [12200, 12300)  100 candidates
[Worker-3] Chunk #122 done in 31 ms  local best: candidate #12276  cost=36831909.68
[Worker-3] Chunk #130  [13000, 13100)  100 candidates
[Worker-3] Chunk #130 done in 1 ms  local best: candidate #13092  cost=36805749.23
[Worker-3] Chunk #132  [13200, 13300)  100 candidates
[Worker-3] Chunk #132 done in 33 ms  local best: candidate #13299  cost=36724944.52
[Worker-3] Chunk #139  [13900, 14000)  100 candidates
[Worker-3] Chunk #139 done in 3 ms  local best: candidate #13971  cost=36789399.92
[Worker-3] Chunk #140  [14000, 14100)  100 candidates
[Worker-3] Chunk #140 done in 24 ms  local best: candidate #14017  cost=37018785.82
[Worker-3] Chunk #146  [14600, 14700)  100 candidates
[Worker-3] Chunk #146 done in 145 ms  local best: candidate #14645  cost=37333145.70
[Worker-3] Chunk #177  [17700, 17800)  100 candidates
[Worker-3] Chunk #177 done in 1 ms  local best: candidate #17782  cost=36775007.35
[Worker-3] Chunk #179  [17900, 18000)  100 candidates
[Worker-3] Chunk #179 done in 16 ms  local best: candidate #17961  cost=36617471.93
[Worker-3] Chunk #185  [18500, 18600)  100 candidates
[Worker-3] Chunk #185 done in 16 ms  local best: candidate #18568  cost=36857339.13
[Worker-3] Chunk #193  [19300, 19400)  100 candidates
[Worker-3] Chunk #193 done in 1 ms  local best: candidate #19358  cost=37300189.16
[Worker-3] Chunk #195  [19500, 19600)  100 candidates
[Worker-3] Chunk #195 done in 26 ms  local best: candidate #19590  cost=36911067.44
[Worker-3] Chunk #200  [20000, 20100)  100 candidates
[Worker-3] Chunk #200 done in 20 ms  local best: candidate #20004  cost=36307306.88
[Worker-3] Chunk #206  [20600, 20700)  100 candidates
[Worker-3] Chunk #206 done in 20 ms  local best: candidate #20602  cost=37690070.41
[Worker-3] Chunk #218  [21800, 21900)  100 candidates
[Worker-3] Chunk #218 done in 2 ms  local best: candidate #21879  cost=36710024.12
[Worker-3] Chunk #222  [22200, 22300)  100 candidates
[Worker-3] Chunk #222 done in 17 ms  local best: candidate #22298  cost=37676981.89
